## 1.  01. 분모가 같은 (분수)÷(분수)(1)·나누어떨어지는 경우
  t0L1 low | ① 4/5 ÷ 1/5처럼 (분수)÷(단위분수)는 무엇을 세어 구할까? (몇 번 덜어 낼 수 있는지)
  t0L1 low | ① 원을 한없이 잘라 이어 붙이면 어떤 도형에 가까워질까? (직사각형)
  t0L2 low | ② 원의 넓이는 어떻게 구할까? ((반지름)×(반지름)×(원주율))
  t0H1 high | ① [유도] 원을 직사각형으로 바꾸어 (원의 넓이)=(반지름)×(반지름)×(원주율)이 되는 과정을 설명해 봐.
  t0H2 high | ② [비례] 반지름이 2배가 되면 원의 넓이가 4배가 되는 이유를 말해 줘.
  qrecall reca | 반지름이 4 cm인 원의 넓이는 몇 ㎠인지 말해 봐.(원주율: 3.14)
  qreason reas | 원을 직사각형 모양으로 바꾸어 보면 왜 (원의 넓이)=(반지름)×(반지름)×(원주율)이 될까?
  qexample exam | 반지름이 다른 원 두 개의 넓이를 직접 구해서 비교해 봐.
  qerror erro | 친구가 반지름이 5 cm인 원의 넓이를 구하면서 지름 10을 이용해 10×10×3.14=314㎠라고 했어. 어디가 틀렸을까?
## 5.  05. 원의 둘레와 넓이를 활용해 볼까요
  t0L1 low | ① 색칠한 부분의 넓이는 전체 넓이에서 무엇을 빼서 구하기도 할까? (부분의 넓이)
  t0L2 low | ② 복잡한 색칠한 부분은 어떻게 하면 넓이를 쉽게 구할까? (일부분을 옮겨 간단한 모양으로)
  t0H1 high | ① [색칠한 부분] 정사각형 안에 있는 원을 이용해 색칠한 부분의 넓이를 구하는 방법을 설명해 봐.
  t0H2 high | ② [등적변형] 색칠한 부분의 일부를 옮겨 간단한 모양으로 바꾸어도 넓이가 변하지 않는 이유를 말해 줘.
  qrecall reca | 한 변이 6 cm인 정사각형 안에 반지름 3 cm인 원이 꼭 맞게 있을 때, 색칠한 부분(정사각형-원)의 넓이는 몇 ㎠인지 말해 봐.(원주율: 3.14)
  qreason reas | 복잡하게 색칠된 도형을 풀 때, 왜 일부분을 옮겨서 원이나 직사각형 같은 간단한 모양으로 바꿀 수 있을까?
  qexample exam | 전체 도형에서 일부를 빼서 색칠한 부분의 넓이를 구하는 예를 만들어 봐.
  qerror erro | 친구가 정사각형 안에 원이 있는 그림에서 색칠한 부분(정사각형-원)의 넓이를 구하면서 원의 넓이만 답으로 썼어. 어디가 틀렸을까?
## 6.  01. 원기둥을 알아볼까요
  t0L1 low | ① 원기둥은 어떤 입체도형일까? (서로 평행하고 합동인 두 원으로 이루어진 입체도형)
  t0L2 low | ② 원기둥의 밑면, 옆면, 높이는 각각 무엇일까?
  t0H1 high | ① [만들기] 직사각형 모양의 종이를 한 변을 기준으로 한 바퀴 돌려 원기둥을 만드는 방법을 설명해 봐.
  t0H2 high | ② [비교] 원기둥과 각기둥의 공통점과 차이점을 말해 줘.
  qrecall reca | 원기둥에서 밑면은 모두 몇 개이고 어떤 모양인지 말해 봐.
  qreason reas | 원기둥의 옆면은 왜 평평하지 않고 굽어 있을까?
  qexample exam | 우리 주변에서 원기둥 모양의 물건을 하나 찾아 밑면과 옆면이 어디인지 말해 봐.
  qerror erro | 친구가 원기둥에는 밑면이 1개밖에 없다고 했어. 어디가 틀렸을까?
## 6.  02. 원기둥의 전개도를 알아볼까요
  t0L1 low | ① 원기둥을 잘라서 평면 위에 펼쳐 놓은 그림을 무엇이라고 할까? (전개도)
  t0L2 low | ② 원기둥의 전개도에서 두 밑면과 옆면은 각각 어떤 모양일까? (원, 직사각형)
  t0H1 high | ① [옆면 가로] 전개도에서 옆면의 가로가 밑면의 둘레와 같은 이유를 설명해 봐.
  t0H2 high | ② [옆면 세로] 옆면의 세로가 원기둥의 높이와 같은 이유를 말해 줘.
  qrecall reca | 밑면의 반지름이 3 cm인 원기둥의 전개도에서 옆면의 가로 길이는 몇 cm인지 말해 봐.(원주율: 3.14)
  qreason reas | 원기둥의 전개도에서 두 밑면의 크기는 왜 항상 서로 같아야 할까?
  qexample exam | 밑면의 반지름과 높이를 정해서 원기둥의 전개도에서 옆면의 가로·세로 길이를 구해 봐.
  qerror erro | 친구가 원기둥의 전개도를 그리면서 옆면의 가로를 밑면의 지름 길이로 그렸어. 어디가 틀렸을까?
## 6.  03. 원뿔을 알아볼까요
  t0L1 low | ① 원뿔은 어떤 입체도형일까? (평평한 면이 원이고 1개인 입체도형)
  t0L2 low | ② 원뿔의 꼭짓점, 모선, 높이는 각각 무엇일까?
  t0H1 high | ① [만들기] 직각삼각형 모양의 종이를 한 변을 기준으로 한 바퀴 돌려 원뿔을 만드는 방법을 설명해 봐.
  t0H2 high | ② [모선] 한 원뿔에서 모선의 길이가 항상 높이보다 긴 이유를 말해 줘.
  qrecall reca | 원뿔의 밑면은 어떤 모양이고 몇 개인지 말해 봐.
  qreason reas | 직각삼각형을 한 직각변을 축으로 한 바퀴 돌려 원뿔을 만들었어. 삼각형의 빗변이 돌면서 원뿔의 옆면을 만들어. 원뿔의 꼭짓점에서 밑면 둘레까지의 선분 길이가 어느 쪽에서 재도 같은 이유는 뭘까?
  qexample exam | 우리 주변에서 원뿔 모양의 물건을 찾아 꼭짓점과 밑면이 어디인지 말해 봐.
  qerror erro | 친구가 원뿔의 모선과 높이가 길이가 똑같다고 했어. 어디가 틀렸을까?
## 6.  04. 구를 알아볼까요
  t0L1 low | ① 구의 중심과 구의 반지름은 각각 무엇일까?
  t0L2 low | ② 한 구에서 구의 반지름의 길이는 어떨까? (셀 수 없이 많고 모두 같다)
  t0H1 high | ① [만들기] 반원 모양의 종이를 지름을 기준으로 한 바퀴 돌려 구를 만드는 방법을 설명해 봐.
  t0H2 high | ② [특징] 구는 어느 방향에서 보아도 보이는 모양이 항상 원인 이유를 말해 줘.
  qrecall reca | 구에서 반지름은 몇 개나 그을 수 있고, 그 길이는 서로 어떤지 말해 봐.
  qreason reas | 구에서 중심으로부터 겉면까지의 거리(반지름)가 어느 방향으로 재도 왜 모두 같을까?
  qexample exam | 우리 주변에서 구 모양의 물건을 찾아 중심과 반지름을 말해 봐.
  qerror erro | 친구가 구의 중심이 겉면 위에 있는 아무 점이나 될 수 있다고 했어. 어디가 틀렸을까?
